comment,typeid,play,pic,subtitle,description,copyright,title,review,author,mid,created,length,video_review,aid,bvid,hide_click,is_pay,is_union_video,is_steins_gate,is_live_playback,meta,is_avoided,attribute,vt_display,is_charging_arc,vt,enable_vt
3,201,613,http://i0.hdslb.com/bfs/archive/ee693acb17a4b6e56836282f442327ba37b821ea.jpg,,分享一些真实的门诊故事，给你一些实在的健康知识，Girls help girls!,1,爱惜自己从娃娃做起！,0,学妇产科的董小姐,424086104,1696669081,05:51,8,406878998,BV1cG411m7Ti,False,0,0,0,0,,0,0,,False,0,0
203,201,55728,http://i1.hdslb.com/bfs/archive/9827908d19e28d235d6177931f86500073cb2bdc.jpg,,你能想象50年未婚未育没有性生活是一种怎样的状态吗？,1,长期没有性生活会怎么样？,0,学妇产科的董小姐,424086104,1690971225,04:42,219,316709864,BV1aP41147mt,False,0,0,0,0,,0,0,,False,0,0
4,201,3168,http://i0.hdslb.com/bfs/archive/22e7e6243c18d033b99a570beeb90d56e0afb26a.jpg,,妇科检查有多可怕？看完这期保姆级攻略希望让你对妇科检查变的不那么可怕！,1,【妇科医生】的妇科检查保姆级攻略,0,学妇产科的董小姐,424086104,1689675074,06:02,28,828514358,BV1hu4y1S7gc,False,0,0,0,0,,0,0,,False,0,0
34,201,5260,http://i2.hdslb.com/bfs/archive/72b9e5aa69f7e868c93de549b3391b285496748c.jpg,,关于生育，想通过我的真实体验让大家理性的看待它，认识它。,1,【妇产科医生】生孩子好像没那么痛？,0,学妇产科的董小姐,424086104,1688461073,06:54,72,273019575,BV1jF411R765,False,0,0,0,0,,0,0,,False,0,0
8,201,1315,http://i0.hdslb.com/bfs/archive/1786a439a830a369038b7f966ed4eca5b946e4dd.jpg,,为什么人类的性欲望会不同？怎样才能旱涝保收？,1,人类的性欲为什么会不同？怎样才能旱涝保收？,0,学妇产科的董小姐,424086104,1685966880,03:54,10,954452925,BV11W4y1R7DP,False,0,0,0,0,,0,0,,False,0,0
31,201,20557,http://i2.hdslb.com/bfs/archive/7a0406b1f67189c9fed2c11b620901f0446367b5.png,,兔唇、地贫、无脑儿、脊柱裂....这个世界上有很多种出生缺陷，每个宝宝都是爸爸妈妈的天使，可当折翼的天使真的来到我们身边的时候，你真的能接受吗？希望带大家认识了解出生缺陷，预防出生缺陷的发生。,1,兔唇、地贫，李亚鹏的基因真有问题？带你认识出生缺陷,0,学妇产科的董小姐,424086104,1679483502,04:01,15,226393702,BV1Mb411o7ED,False,0,0,0,0,,0,0,,False,0,0
3,201,2012,http://i0.hdslb.com/bfs/archive/1a7e8312285c753e278a0a5726275cce17ef4c31.png,,怀孕了？要吃的瓶瓶罐罐太多，到底该怎么吃才能让妈妈更健康让宝宝更聪明？让董小姐来告诉你吧。,1,【妇科医生】教你怀孕后正确补充营养素,0,学妇产科的董小姐,424086104,1675935514,03:59,1,524051343,BV1TM411Y7Zr,False,0,0,0,0,,0,0,,False,0,0
28,201,8609,http://i0.hdslb.com/bfs/archive/d3d436a7dfb11bf91793e362209b02c8585ac7fb.jpg,,大家都知道怀孕不容易，可关关难过关关都得过，孕妈妈们要面对的不只孕吐，那些令人尴尬的屎尿屁也能把人逼疯！（之前因为认证问题稿件被限流，为了让更多人看到，原谅我认证好又重新发一次）,1,孕期那些令人尴尬的屎尿屁能把人逼疯！,0,学妇产科的董小姐,424086104,1674901457,05:42,9,480925178,BV1yT411y7SV,False,0,0,0,0,,0,0,,False,0,0
29,201,4565,http://i0.hdslb.com/bfs/archive/a5164587a0ffdf24dc04b87f41566b8f321a4e2e.jpg,,失踪人口回归！早早就想跟大家分享这个好消息，但我也没能逃脱3个月不能说的魔咒，所以选择在儿童节告诉大家，希望以后在分享科学知识的同时，跟大家分享一些孕期日常哦~,1,【妇科医生】教你科学精准备孕,0,学妇产科的董小姐,424086104,1654086857,06:04,5,512131241,BV1Ag411d7H9,False,0,0,0,0,,0,0,,False,0,0
1421,201,698378,http://i2.hdslb.com/bfs/archive/a60c46865a25ce2b4f035e8ac2df41d94cadf02b.jpg,,关于第一次，那些你必须要知道的事,1,【妇科医生】教你正确开始“第一次”,0,学妇产科的董小姐,424086104,1614329102,07:15,2652,501991242,BV1yN41197RJ,False,0,0,0,0,,0,0,,False,0,0
226,201,67775,http://i0.hdslb.com/bfs/archive/a711d415925e7276e7e8ca4281751b7e97c96dca.jpg,,-,1,妇科医生教你如何选一条健康又完美的内裤,0,学妇产科的董小姐,424086104,1591788536,06:25,295,668462967,BV1ha4y1v7vY,False,0,0,0,0,,0,0,,False,0,0
723,201,196827,http://i2.hdslb.com/bfs/archive/6e4ce76b22fce6f605c66f110d18f95e7793edad.jpg,,一个想跟你一边聊(kai)天(che)一边学知识的妇产科小医生。今天我们来学私处护理！,1,妇科医生教你私处护理，从内衣洗衣液到私处美白，避开误区，和自己的“小妹妹”和谐相处,0,学妇产科的董小姐,424086104,1590397206,06:35,459,795849369,BV1yC4y1p7TS,False,0,0,0,0,,0,0,,False,0,0
156,201,11264,http://i0.hdslb.com/bfs/archive/e8ea13c94433f4480602f2648addd428eb07e4f4.jpg,,-,1,从专业的角度为你分析生育利弊,0,学妇产科的董小姐,424086104,1589866565,04:40,486,498144197,BV1eK411W7oG,False,0,0,0,0,,0,0,,False,0,0
38,201,5279,http://i1.hdslb.com/bfs/archive/0a714f62cde456c54175820e59ee66c6f6f36fcd.jpg,,-,1,【母亲节给妈妈一份特别的爱】妈妈们那些不好意思说的健康问题你关心过吗？如果没有我帮你解决了！,0,学妇产科的董小姐,424086104,1588828193,06:17,28,200575773,BV1Lz411q7Xb,False,0,0,0,0,,0,0,,False,0,0
59,201,8329,http://i1.hdslb.com/bfs/archive/60fa4f3beacb99bfd0ae8156353cf913157a651d.jpg,,-,1,国产HPV疫苗来了！可以预防癌症，性价比这么高要不要接种？,0,学妇产科的董小姐,424086104,1588064749,03:09,32,925428899,BV1yT4y1g7aK,False,0,0,0,0,,0,0,,False,0,0
99,124,11262,http://i1.hdslb.com/bfs/archive/8dc3cff50a15f31937e1651e471a254415d60ca7.jpg,,-,1,姨妈同步才是鉴别真闺蜜的标准？女人真是一种复杂的动物~,0,学妇产科的董小姐,424086104,1585852263,04:03,139,412508562,BV13V411f7hf,False,0,0,0,0,,0,0,,False,0,0
