comment,typeid,play,pic,subtitle,description,copyright,title,review,author,mid,created,length,video_review,aid,bvid,hide_click,is_pay,is_union_video,is_steins_gate,is_live_playback,meta,is_avoided,attribute,vt_display,is_charging_arc,vt,enable_vt
308,21,81783,http://i1.hdslb.com/bfs/archive/3b34dff5e13645dae153a37b831361e137e9dcb1.jpg,,无简介,1,我，老华为用户，手机掉厕所，捞都捞不上来,0,理发师肖邦,478030,1695907195,03:49,293,661564651,BV1th4y1h7Ks,False,0,0,0,0,,0,0,,False,0,0
1000,124,187843,http://i2.hdslb.com/bfs/archive/d3f23512e00fd875ec51a2ee5c98ebb648d82272.jpg,,"发表之前心里很矛盾，一方面想发表自己的看法，另一方面我认为这个漩涡很大，应该少掺和。
最后还是决定顺其自然了。",1,不批不洗，旁观者视角说说李佳琦这个事,0,理发师肖邦,478030,1694944454,05:46,440,448575182,BV1Jj411k748,False,0,0,0,0,,0,0,,False,0,0
377,201,75455,http://i2.hdslb.com/bfs/archive/c616a102d520b29564cd96ac71b85d45bfc002f1.jpg,,发于日本核废水排放后,1,日本当年四大环境公害病最后造成了什么结果,0,理发师肖邦,478030,1693969200,08:04,649,318138014,BV1cP411a7pV,False,0,0,0,0,,0,0,,False,0,0
640,124,192635,http://i2.hdslb.com/bfs/archive/9cac81520f458a05dd4e189612f5ff8384971da0.jpg,,"封神第一部，取这名字真的很容易让我错过。
这次讲讲我最爱的心理分析，讲讲为什么道德最后会成为很多人生活的负担和绑架的工具，虽然我很自信，不过我不能打包票角色和很多人就是按照我想的这样在想。
最后，希望本视频能成为一则优秀的厕所摸鱼读物，助你度过答辩通畅的欢乐时光（我特意定时在了一个比较容易想去厕所的时间发布）
（累死了，编发布文案真累）
（累死了，装“编发布文案真累”真累）
（算了不累，下次还编）",1,“能恶心到圣人，我心甚慰”-分析仇圣心态,0,理发师肖邦,478030,1693362600,08:11,858,617926850,BV1hh4y1N7jf,False,0,0,0,0,,0,0,,False,0,0
1181,124,287922,http://i2.hdslb.com/bfs/archive/70aa2afa7c5bf10dbbe32db9fe1fce04c3bfd8d7.jpg,,"中二病犯了，来讲点装B话。
刚吃了药了，好了。
吃的感冒灵颗粒。
以前你说你是个天蝎座，我还不信，我现在有点怀疑了。",1,一些Anti-精神攻击的咒语，教给大家,0,理发师肖邦,478030,1692066600,02:04,498,617344560,BV1U84y1f7qL,False,0,0,0,0,,0,0,,False,0,0
494,201,309051,http://i0.hdslb.com/bfs/archive/0327224eb12f27574ac9acadad97dbe3932704f6.jpg,,人生第一次去查皮肤状态。看看HBN这个双A醇晚霜2.0升级版好不好用。,1,你小子突然好看了，是不是偷偷打羊胎素了,0,理发师肖邦,478030,1691487000,05:51,360,446961221,BV1xj411z7tG,False,0,0,0,0,,0,0,,False,0,0
707,201,283547,http://i0.hdslb.com/bfs/archive/54c4ee2bf49e28e6b7204b45d8747a5e29289981.jpg,,好,1,给一个男孩确诊了脂肪肝，亲妈很高兴,0,理发师肖邦,478030,1691287200,04:18,498,999480628,BV1A44y1A7pL,False,0,0,0,0,,0,0,,False,0,0
847,209,261615,http://i1.hdslb.com/bfs/archive/04225de414f9412cefece78f9d624e88017b8f0f.jpg,,"没有头，指路易十六没有头，也指我的工作不用动脑，也指我的工作没有尽头。
啊！我解释了梗！我脏了！",1,在超声科打工的日子，就像路易十六,0,理发师肖邦,478030,1689685834,05:01,713,913539401,BV1HM4y147xP,False,0,0,0,0,,0,0,,False,0,0
1450,209,510593,http://i2.hdslb.com/bfs/archive/59029ac5a0799a0261d68d44563e56ac6f47e1e8.jpg,,没有简介，我很酷。,1,进来呗，教你认识一下什么是坏人,0,理发师肖邦,478030,1688698800,06:12,1634,785566074,BV1p14y1o7jD,False,0,0,0,0,,0,0,,False,0,0
820,124,152558,http://i1.hdslb.com/bfs/archive/2f3ba28b706d2ece004a0f3bc23dd37c93212da9.jpg,,"1、教大家说话。
2、好像过曝了，不好意思。
3、没关系，我已经自己原谅了我自己
4、好吧，下次不在白天拍了。
5、好吧，我试试学一下相机怎么调。",1,如何正确跟你爹妈的控制欲和解,0,理发师肖邦,478030,1686884400,08:17,883,399828223,BV1Jo4y177FF,False,0,0,0,0,,0,0,,False,0,0
675,201,192849,http://i1.hdslb.com/bfs/archive/338d83476f7a2243d9a3fa366e41eeee7fafc0e3.jpg,,"匆忙回家衣服也没换就录了一期。比较潦草，望担待。
不担待也没关系。",1,二阳，不会放过写段子的人,0,理发师肖邦,478030,1685156400,04:44,396,869026136,BV1WV4y1B7g3,False,0,0,0,0,,0,0,,False,0,0
277,201,373751,http://i0.hdslb.com/bfs/archive/d6cf87816d69ec1e2cf77c8a04dc9a998705b77e.jpg,,"省流：
1、蓝光、紫外线能量较高，可损伤皮肤、视网膜，夜晚照蓝光容易失眠，注意防护，记得打开手机的护眼模式。
2、洗澡、洗脸不用太热的水，太冷也不太好，25℃左右的温水就好。
3、忘了",1,工作以后屏幕光照太多，皮肤就容易变差,0,理发师肖邦,478030,1683690216,05:49,421,528423484,BV1rM41137ie,False,0,0,0,0,,0,0,,False,0,0
